title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
印象生活广场,2014,l2,pudong,32804,2021.11.01,上海市浦东新区印象生活广场,"121.593201,31.115139"
东南三村,1991,l2,pudong,39038,2021.10.07,上海市浦东新区东南三村,"121.583824,31.110098"
东南三村,1987,l3,pudong,34265,2018.03.29,上海市浦东新区东南三村,"121.583824,31.110098"
潼港一村,1992,l2,pudong,38663,2021.10.03,上海市浦东新区潼港一村,"121.586502,31.334909"
惠北新村,1982,l2,pudong,30913,2021.08.01,上海市浦东新区汇北新村,"121.757912,31.050262"
惠北新村,1984,l3,pudong,19832,2020.03.14,上海市浦东新区汇北新村,"121.757912,31.050262"
听潮一村,1988,l2,pudong,29167,2021.06.23,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1990,l2,pudong,28143,2021.04.18,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1991,l2,pudong,28051,2021.04.03,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1988,l2,pudong,24286,2021.01.07,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1990,l2,pudong,28226,2021.11.06,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1987,l2,pudong,25987,2021.09.12,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1987,l3,pudong,24234,2021.03.06,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1987,l3,pudong,24444,2021.01.02,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1987,l3,pudong,23064,2020.11.18,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1988,l3,pudong,25045,2020.11.08,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1990,l3,pudong,23354,2020.10.25,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1987,l3,pudong,23145,2020.10.25,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1988,l3,pudong,23705,2020.08.23,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,1990,l3,pudong,25186,2021.03.27,上海市浦东新区听潮一村,"121.739876,31.046640"
新德路365弄小区,1984,l2,pudong,40446,2021.05.22,上海市浦东新区新德路365弄小区,"121.697708,31.197418"
水上新村(浦东),1992,l2,pudong,30013,2021.03.22,上海市奉贤区水上新村,"121.463980,30.919830"
