title,build_time,price,unit_price,transaction_date,district,bedrooms
丹桂佳苑 1室1厅 55.23平米,高楼层(共6层) 2008年建板楼,147,26616,2021.10.11,pudong,l1
龙源星城 1室1厅 65.7平米,低楼层(共6层) 2001年建板楼,154,23440,2021.10.05,pudong,l1
远东小区 1室1厅 51.48平米,中楼层(共6层) 1998年建板楼,155,30109,2021.10.02,pudong,l1
惠益新苑南苑 1室1厅 59平米,中楼层(共14层) 2014年建塔楼,190,32204,2021.09.24,pudong,l1
绿地蓝海庭 1室1厅 51.79平米,中楼层(共5层) 2009年建板楼,143,27515,2021.09.21,pudong,l1
汇金星城 1室1厅 60.77平米,高楼层(共6层) 2014年建板楼,125,20570,2021.09.21,pudong,l1
盛大天地青春里(一期) 2房间1卫 51平米,低楼层(共11层) 2015年建板楼,180,35295,2021.09.12,pudong,l1
展想悦廷 2房间1卫 52平米,高楼层(共16层) 2007年建板楼,150,28847,2021.09.09,pudong,l1
丽泽荷亭苑 1室1厅 60.25平米,高楼层(共6层) 2009年建板楼,129,21411,2021.09.05,pudong,l1
绿地蓝海庭 1室1厅 52.54平米,中楼层(共5层) 2009年建板楼,145,27599,2021.08.30,pudong,l1
中惠广场 2房间1卫 53.61平米,中楼层(共28层) 2008年建塔楼,95,17721,2021.08.23,pudong,l1
绿地蓝海庭 1室1厅 58.04平米,中楼层(共5层) 2009年建板楼,162,27826,2021.08.23,pudong,l1
明祥苑 1室1厅 66.74平米,高楼层(共6层) 2011年建板楼,139,20828,2021.08.22,pudong,l1
天环苑 1室1厅 55.08平米,低楼层(共6层) 2008年建板楼,182,33043,2021.08.15,pudong,l1
金桥中环大厦 2房间1卫 52.42平米,低楼层(共22层) 2007年建板塔结合,185,35292,2021.07.25,pudong,l1
绿地蓝海庭 1室1厅 58.18平米,中楼层(共5层) 2008年建板楼,163,28017,2021.07.17,pudong,l1
丹桂佳苑 1室1厅 55.04平米,低楼层(共6层) 2009年建板楼,142,25800,2021.07.14,pudong,l1
城东大楼 2室1厅 52.59平米,高楼层(共6层) 1990年建板楼,132,25005,2021.11.24,pudong,l2
荡湾新村 2室1厅 58.01平米,高楼层(共5层) 1983年建板楼,162,27927,2021.11.21,pudong,l2
荡湾新村 2室1厅 51.32平米,中楼层(共6层) 1985年建板楼,143,27826,2021.11.06,pudong,l2
听潮一村 2室1厅 52.08平米,高楼层(共6层) 1990年建板楼,147,28226,2021.11.06,pudong,l2
西北新村 2室1厅 51.71平米,高楼层(共5层) 1995年建板楼,150,28912,2021.10.20,pudong,l2
供销三村 2室1厅 61.99平米,高楼层(共5层) 1984年建板楼,139,22423,2021.10.20,pudong,l2
荡湾新村 2室1厅 61.57平米,低楼层(共6层) 1985年建板楼,175,28423,2021.10.11,pudong,l2
悦天地 3房间2卫 51.75平米,中楼层(共5层) 2016年建板楼,140,27054,2021.10.10,pudong,l2
荡湾新村 2室1厅 55.57平米,中楼层(共5层) 1986年建板楼,153,27443,2021.10.06,pudong,l2
荡湾新村 2室1厅 64.28平米,高楼层(共6层) 1985年建板楼,155,24114,2021.10.02,pudong,l2
